3.6541818305704035 1.6269465723032008 0.0,3.6252311481465997 1.6904730469627978 0.0,4.0 4.0 4.0
3.6541818305704035 1.6269465723032008 0.0,3.6252311481465997 1.6904730469627978 0.0,4.0 4.0 -4.0
3.6252311481465997 1.6904730469627978 0.0,3.595176185196668 1.7534845871563096 0.0,4.0 4.0 4.0
3.6252311481465997 1.6904730469627978 0.0,3.595176185196668 1.7534845871563096 0.0,4.0 4.0 -4.0
3.595176185196668 1.7534845871563096 0.0,3.5640260967534716 1.815961998958187 0.0,4.0 4.0 4.0
3.595176185196668 1.7534845871563096 0.0,3.5640260967534716 1.815961998958187 0.0,4.0 4.0 -4.0
3.5640260967534716 1.815961998958187 0.0,3.531790371435708 1.8778862511435632 0.0,4.0 4.0 4.0
3.5640260967534716 1.815961998958187 0.0,3.531790371435708 1.8778862511435632 0.0,4.0 4.0 -4.0
3.531790371435708 1.8778862511435632 0.0,3.498478828557583 1.9392384809853482 0.0,4.0 4.0 4.0
3.531790371435708 1.8778862511435632 0.0,3.498478828557583 1.9392384809853482 0.0,4.0 4.0 -4.0
3.498478828557583 1.9392384809853482 0.0,3.464101615137755 1.9999999999999998 0.0,4.0 4.0 4.0
3.498478828557583 1.9392384809853482 0.0,3.464101615137755 1.9999999999999998 0.0,4.0 4.0 -4.0
3.464101615137755 1.9999999999999998 0.0,3.4286692028084493 2.0601522996402166 0.0,4.0 4.0 4.0
3.464101615137755 1.9999999999999998 0.0,3.4286692028084493 2.0601522996402166 0.0,4.0 4.0 -4.0
3.4286692028084493 2.0601522996402166 0.0,3.392192384625704 2.1196770569328196 0.0,4.0 4.0 4.0
3.4286692028084493 2.0601522996402166 0.0,3.392192384625704 2.1196770569328196 0.0,4.0 4.0 -4.0
3.392192384625704 2.1196770569328196 0.0,3.354682271781696 2.1785561400601083 0.0,4.0 4.0 4.0
3.392192384625704 2.1196770569328196 0.0,3.354682271781696 2.1785561400601083 0.0,4.0 4.0 -4.0
3.354682271781696 2.1785561400601083 0.0,3.3161502902201665 2.2367716138829876 0.0,4.0 4.0 4.0
3.354682271781696 2.1785561400601083 0.0,3.3161502902201665 2.2367716138829876 0.0,4.0 4.0 -4.0
3.3161502902201665 2.2367716138829876 0.0,3.276608177155967 2.294305745404184 0.0,4.0 4.0 4.0
3.3161502902201665 2.2367716138829876 0.0,3.276608177155967 2.294305745404184 0.0,4.0 4.0 -4.0
3.276608177155967 2.294305745404184 0.0,3.23606797749979 2.3511410091698925 0.0,4.0 4.0 4.0
3.276608177155967 2.294305745404184 0.0,3.23606797749979 2.3511410091698925 0.0,4.0 4.0 -4.0
3.23606797749979 2.3511410091698925 0.0,3.1945420401891713 2.407260092608193 0.0,4.0 4.0 4.0
3.23606797749979 2.3511410091698925 0.0,3.1945420401891713 2.407260092608193 0.0,4.0 4.0 -4.0
3.1945420401891713 2.407260092608193 0.0,3.1520430144268876 2.462645901302633 0.0,4.0 4.0 4.0
3.1945420401891713 2.407260092608193 0.0,3.1520430144268876 2.462645901302633 0.0,4.0 4.0 -4.0
3.1520430144268876 2.462645901302633 0.0,3.1085838458278836 2.5172815641993496 0.0,4.0 4.0 4.0
3.1520430144268876 2.462645901302633 0.0,3.1085838458278836 2.5172815641993496 0.0,4.0 4.0 -4.0
3.1085838458278836 2.5172815641993496 0.0,3.064177772475912 2.571150438746157 0.0,4.0 4.0 4.0
3.1085838458278836 2.5172815641993496 0.0,3.064177772475912 2.571150438746157 0.0,4.0 4.0 -4.0
3.064177772475912 2.571150438746157 0.0,3.018838320891088 2.624236115962029 0.0,4.0 4.0 4.0
3.064177772475912 2.571150438746157 0.0,3.018838320891088 2.624236115962029 0.0,4.0 4.0 -4.0
3.018838320891088 2.624236115962029 0.0,2.972579301909577 2.676522425435433 0.0,4.0 4.0 4.0
3.018838320891088 2.624236115962029 0.0,2.972579301909577 2.676522425435433 0.0,4.0 4.0 -4.0
2.972579301909577 2.676522425435433 0.0,2.925414806476682 2.727993440249994 0.0,4.0 4.0 4.0
2.972579301909577 2.676522425435433 0.0,2.925414806476682 2.727993440249994 0.0,4.0 4.0 -4.0
2.925414806476682 2.727993440249994 0.0,2.8773592013546048 2.778633481835989 0.0,4.0 4.0 4.0
2.925414806476682 2.727993440249994 0.0,2.8773592013546048 2.778633481835989 0.0,4.0 4.0 -4.0
