#tr	v1,v2,v3,direction	plane	beta(rad)	Z_S(rad)	Area(m^2)
61	<0.6,3,1.77581>,<0.65,0,1.59367>,<0.65,3,1.59367>,1	<0.54642,-0,0.15>	1.30288	1.5708	0.283317
62	<0.65,0,1.59367>,<0.65,3,1.59367>,<0.7,0,1.36518>,1	<-0.68547,0,-0.15>	1.35536	1.5708	0.350845
63	<0.65,3,1.59367>,<0.7,0,1.36518>,<0.7,3,1.36518>,1	<0.68547,-0,0.15>	1.35536	1.5708	0.350845
64	<0.7,0,1.36518>,<0.7,3,1.36518>,<0.75,0,1.097>,1	<-0.80454,0,-0.15>	1.38647	1.5708	0.409202
65	<0.7,3,1.36518>,<0.75,0,1.097>,<0.75,3,1.097>,1	<0.80454,-0,0.15>	1.38647	1.5708	0.409202
66	<0.75,0,1.097>,<0.75,3,1.097>,<0.8,0,0.796912>,1	<-0.900264,0,-0.15>	1.4057	1.5708	0.456337
67	<0.75,3,1.097>,<0.8,0,0.796912>,<0.8,3,0.796912>,1	<0.900264,-0,0.15>	1.4057	1.5708	0.456337
68	<0.8,0,0.796912>,<0.8,3,0.796912>,<0.85,0,0.473652>,1	<-0.96978,0,-0.15>	1.41734	1.5708	0.490656
69	<0.8,3,0.796912>,<0.85,0,0.473652>,<0.85,3,0.473652>,1	<0.96978,-0,0.15>	1.41734	1.5708	0.490656
70	<0.85,0,0.473652>,<0.85,3,0.473652>,<0.9,0,0.136619>,1	<-1.0111,0,-0.15>	1.42352	1.5708	0.511082
71	<0.85,3,0.473652>,<0.9,0,0.136619>,<0.9,3,0.136619>,1	<1.0111,-0,0.15>	1.42352	1.5708	0.511082
72	<0.9,0,0.136619>,<0.9,3,0.136619>,<0.95,0,-0.204387>,1	<-1.02302,0,-0.15>	1.42521	1.5708	0.516978
73	<0.9,3,0.136619>,<0.95,0,-0.204387>,<0.95,3,-0.204387>,1	<1.02302,-0,0.15>	1.42521	1.5708	0.516978
74	<0.95,0,-0.204387>,<0.95,3,-0.204387>,<1,0,-0.53945>,1	<-1.00519,0,-0.15>	1.42266	1.5708	0.50816
75	<0.95,3,-0.204387>,<1,0,-0.53945>,<1,3,-0.53945>,1	<1.00519,-0,0.15>	1.42266	1.5708	0.50816
76	<1,0,-0.53945>,<1,3,-0.53945>,<1.05,0,-0.858825>,1	<-0.958125,0,-0.15>	1.4155	1.5708	0.484898
77	<1,3,-0.53945>,<1.05,0,-0.858825>,<1.05,3,-0.858825>,1	<0.958125,-0,0.15>	1.4155	1.5708	0.484898
